


A.  .plot_3.curve_1.TIME (sec)
B.  .plot_3.curve_1.y_data (newton)
C.  .plot_3.curve_2.y_data (newton)

       A               B               C         
 4.270000E+00    5.193484E+01    5.193484E+01   
 4.280000E+00    4.018357E+01    4.018357E+01   
 4.290000E+00    2.531308E+01    2.531308E+01   
 4.300000E+00    9.411862E+00    9.411862E+00   
 4.310000E+00   -5.286794E+00   -5.286794E+00   
 4.320000E+00   -1.671851E+01   -1.671851E+01   
 4.330000E+00   -2.327773E+01   -2.327773E+01   
 4.340000E+00   -2.404324E+01   -2.404324E+01   
 4.350000E+00   -1.890751E+01   -1.890751E+01   
 4.360000E+00   -8.591859E+00   -8.591859E+00   
 4.370000E+00    5.454924E+00    5.454924E+00   
 4.380000E+00    2.126001E+01    2.126001E+01   
 4.390000E+00    3.660361E+01    3.660361E+01   
 4.400000E+00    4.933078E+01    4.933078E+01   
 4.410000E+00    5.765401E+01    5.765401E+01   
 4.420000E+00    6.040433E+01    6.040433E+01   
 4.430000E+00    5.719548E+01    5.719548E+01   
 4.440000E+00    4.847811E+01    4.847811E+01   
 4.450000E+00    3.547657E+01    3.547657E+01   
 4.460000E+00    2.001688E+01    2.001688E+01   
 4.470000E+00    4.270298E+00    4.270298E+00   
 4.480000E+00   -9.551602E+00   -9.551602E+00   
 4.490000E+00   -1.950758E+01   -1.950758E+01   
 4.500000E+00   -2.419935E+01   -2.419935E+01   
 4.510000E+00   -2.296796E+01   -2.296796E+01   
 4.520000E+00   -1.598637E+01   -1.598637E+01   
 4.530000E+00   -4.235108E+00   -4.235108E+00   
 4.540000E+00    1.063539E+01    1.063539E+01   
 4.550000E+00    2.653660E+01    2.653660E+01   
 4.560000E+00    4.123526E+01    4.123526E+01   
 4.570000E+00    5.266698E+01    5.266698E+01   
 4.580000E+00    5.922620E+01    5.922620E+01   
 4.590000E+00    5.999170E+01    5.999170E+01   
 4.600000E+00    5.485598E+01    5.485598E+01   
 4.610000E+00    4.454033E+01    4.454033E+01   
 4.620000E+00    3.049354E+01    3.049354E+01   
 4.630000E+00    1.468846E+01    1.468846E+01   
 4.640000E+00   -6.551460E-01   -6.551460E-01   
 4.650000E+00   -1.338231E+01   -1.338231E+01   
 4.660000E+00   -2.170554E+01   -2.170554E+01   
 4.670000E+00   -2.445587E+01   -2.445587E+01   
 4.680000E+00   -2.124701E+01   -2.124701E+01   
 4.690000E+00   -1.252965E+01   -1.252965E+01   
 4.700000E+00    4.718974E-01    4.718974E-01   
 4.710000E+00    1.593159E+01    1.593159E+01   
 4.720000E+00    3.167817E+01    3.167817E+01   
 4.730000E+00    4.550007E+01    4.550007E+01   
 4.740000E+00    5.545605E+01    5.545605E+01   
 4.750000E+00    6.014782E+01    6.014782E+01   
 4.760000E+00    5.891643E+01    5.891643E+01   
 4.770000E+00    5.193484E+01    5.193484E+01   
 4.780000E+00    4.018357E+01    4.018357E+01   
 4.790000E+00    2.531308E+01    2.531308E+01   
 4.800000E+00    9.411862E+00    9.411862E+00   
 4.810000E+00   -5.286794E+00   -5.286794E+00   
 4.820000E+00   -1.671851E+01   -1.671851E+01   
 4.830000E+00   -2.327773E+01   -2.327773E+01   
 4.840000E+00   -2.404324E+01   -2.404324E+01   
 4.850000E+00   -1.890751E+01   -1.890751E+01   
 4.860000E+00   -8.591858E+00   -8.591858E+00   
 4.870000E+00    5.454925E+00    5.454925E+00   
 4.880000E+00    2.126001E+01    2.126001E+01   
 4.890000E+00    3.660361E+01    3.660361E+01   
 4.900000E+00    4.933078E+01    4.933078E+01   
 4.910000E+00    5.765401E+01    5.765401E+01   
 4.920000E+00    6.040433E+01    6.040433E+01   
 4.930000E+00    5.719548E+01    5.719548E+01   
 4.940000E+00    4.847811E+01    4.847811E+01   
 4.950000E+00    3.547657E+01    3.547657E+01   
 4.960000E+00    2.001688E+01    2.001688E+01   
 4.970000E+00    4.270299E+00    4.270299E+00   
 4.980000E+00   -9.551602E+00   -9.551602E+00   
 4.990000E+00   -1.950758E+01   -1.950758E+01   
 5.000000E+00   -2.419935E+01   -2.419935E+01   
 5.010000E+00   -2.296796E+01   -2.296796E+01   
 5.020000E+00   -1.598637E+01   -1.598637E+01   
 5.030000E+00   -4.235108E+00   -4.235108E+00   
 5.040000E+00    1.063539E+01    1.063539E+01   
 5.050000E+00    2.653661E+01    2.653661E+01   
 5.060000E+00    4.123526E+01    4.123526E+01   
 5.070000E+00    5.266698E+01    5.266698E+01   
 5.080000E+00    5.922620E+01    5.922620E+01   
 5.090000E+00    5.999170E+01    5.999170E+01   
 5.100000E+00    5.485598E+01    5.485598E+01   
 5.110000E+00    4.454033E+01    4.454033E+01   
 5.120000E+00    3.049354E+01    3.049354E+01   
 5.130000E+00    1.468846E+01    1.468846E+01   
 5.140000E+00   -6.551457E-01   -6.551457E-01   
