""
"Test Method","Tensile test (ROUND specimen).msm"
"Sample I. D.","MaterialX_RT_1mm_min_fi64.mss"
"Specimen Number","4"

"Time (s)","Extension (mm)","Strain (%)","Load (N)","Stress (MPa)"
84.852,0.17549,1.75490,9054.39724,285.00694
85.108,0.17613,1.76133,9064.83207,285.33540
85.364,0.17665,1.76650,9071.01488,285.53001
85.620,0.17726,1.77263,9073.12129,285.59632
85.876,0.17786,1.77864,9086.06040,286.00360
86.132,0.17838,1.78384,9100.10621,286.44573
86.388,0.17894,1.78944,9106.16088,286.63631
86.644,0.17952,1.79520,9114.40917,286.89594
86.900,0.18007,1.80066,9123.17103,287.17174
87.156,0.18057,1.80571,9145.31079,287.86864
87.412,0.18114,1.81139,9144.77875,287.85189
87.668,0.18174,1.81744,9157.62255,288.25618
87.924,0.18239,1.82390,9162.01865,288.39456
88.180,0.18292,1.82925,9169.12465,288.61823
88.436,0.18350,1.83496,9180.17870,288.96618
88.692,0.18403,1.84025,9185.34630,289.12885
88.948,0.18452,1.84524,9202.25450,289.66107
89.204,0.18504,1.85037,9219.87860,290.21582
89.460,0.18570,1.85697,9223.05645,290.31585
89.716,0.18625,1.86245,9219.07983,290.19068
89.972,0.18690,1.86895,9238.91351,290.81499
90.228,0.18744,1.87441,9249.04309,291.13384
90.484,0.18792,1.87922,9256.33479,291.36336
90.740,0.18849,1.88494,9264.07836,291.60711
90.996,0.18903,1.89031,9273.43474,291.90162
91.252,0.18952,1.89522,9265.94534,291.66588
91.508,0.19007,1.90075,9281.82679,292.16578
91.764,0.19067,1.90668,9299.60605,292.72542
92.020,0.19121,1.91207,9306.49526,292.94227
92.276,0.19175,1.91746,9311.02301,293.08479
92.532,0.19223,1.92229,9307.51303,292.97431
92.788,0.19270,1.92703,9328.72005,293.64185
93.044,0.19339,1.93386,9342.59070,294.07846
93.300,0.19406,1.94063,9342.61380,294.07918
93.556,0.19465,1.94651,9362.68386,294.71093
93.812,0.19510,1.95095,9370.03646,294.94237
94.068,0.19569,1.95694,9371.93955,295.00228
94.324,0.19630,1.96300,9375.04846,295.10014
94.580,0.19689,1.96895,9394.22639,295.70380
94.836,0.19745,1.97449,9398.29818,295.83197
95.092,0.19807,1.98072,9407.55755,296.12343
95.348,0.19860,1.98599,9414.94496,296.35596
95.604,0.19919,1.99188,9429.18736,296.80428
95.860,0.19978,1.99781,9433.87642,296.95187
96.116,0.20028,2.00280,9436.24521,297.02644
96.372,0.20087,2.00866,9447.15371,297.36981
96.628,0.20147,2.01468,9460.07240,297.77645
96.884,0.20201,2.02005,9461.95998,297.83587
97.140,0.20261,2.02613,9476.49409,298.29336
97.396,0.20322,2.03218,9481.62027,298.45472
97.652,0.20368,2.03676,9487.16744,298.62933
97.908,0.20437,2.04368,9500.31482,299.04317
98.164,0.20494,2.04941,9501.52355,299.08121
98.420,0.20545,2.05454,9514.40976,299.48684
98.676,0.20602,2.06024,9520.68298,299.68430
98.932,0.20659,2.06587,9531.41122,300.02199
99.188,0.20718,2.07177,9536.71814,300.18904
99.444,0.20768,2.07682,9533.96784,300.10247
99.700,0.20812,2.08118,9520.54322,299.67990
99.956,0.20847,2.08467,9519.95861,299.66150
100.212,0.20892,2.08919,9543.91013,300.41543
100.468,0.20945,2.09450,9562.64025,301.00500
100.724,0.21006,2.10058,9585.54961,301.72612
100.980,0.21066,2.10657,9592.06968,301.93135
101.236,0.21119,2.11187,9601.47383,302.22737
101.492,0.21174,2.11739,9605.52225,302.35480
101.748,0.21242,2.12416,9610.64358,302.51601
102.004,0.21288,2.12878,9626.03142,303.00037
102.260,0.21346,2.13464,9632.63685,303.20829
102.516,0.21401,2.14013,9645.75100,303.62109
102.772,0.21460,2.14603,9638.62152,303.39667
103.028,0.21525,2.15249,9655.81714,303.93794
